,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,bag_of_edges,standard,LR,0.769230769231,0.114461471623,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.854545454545,0.121967344227,"[ 0.54545455  1.          1.          0.81818182  0.81818182  0.90909091
  1.          0.81818182  0.81818182  1.          0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091  0.54545455
  0.72727273  0.81818182  0.72727273  0.81818182  1.          1.
  0.90909091  0.72727273  0.81818182  0.72727273  0.81818182  1.
  0.81818182  1.          0.81818182  1.          1.          0.90909091
  0.90909091  0.90909091  0.81818182  1.          0.54545455  0.81818182
  0.81818182  1.          0.72727273  1.          0.81818182  1.
  0.72727273  0.90909091]",0.704097985348,0.158198911077,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.843333333333,0.158017228315,"[ 0.375       0.95833333  0.95833333  0.83333333  0.79166667  0.91666667
  1.          0.91666667  0.79166667  1.          0.33333333  0.91666667
  0.83333333  0.83333333  0.625       0.95833333  0.91666667  0.45833333
  0.625       0.70833333  0.75        0.66666667  1.          0.91666667
  0.79166667  0.83333333  0.91666667  0.83333333  1.          1.
  0.66666667  1.          0.91666667  0.83333333  1.          0.875       1.
  0.95833333  0.66666667  1.          0.79166667  0.875       0.83333333
  1.          0.75        0.95833333  0.875       0.91666667  0.79166667
  1.        ]"
1,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,bag_of_edges,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.798181818182,0.0877449346328,"[ 0.72727273  1.          0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.54545455  0.81818182  1.          0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.90909091
  0.72727273  0.72727273  0.90909091  0.81818182  0.90909091  0.72727273
  0.81818182  1.          0.81818182  0.90909091  0.72727273  0.81818182
  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.72727273  0.81818182]",0.758470695971,0.215523320419,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.935833333333,0.145585503704,"[ 0.33333333  1.          1.          1.          0.875       1.          1.
  1.          1.          1.          0.41666667  1.          1.          1.
  1.          0.95833333  1.          0.75        0.625       0.95833333
  0.70833333  1.          1.          1.          1.          0.95833333
  1.          0.79166667  1.          1.          0.95833333  1.          1.
  1.          1.          1.          1.          1.          0.66666667
  1.          0.91666667  1.          0.91666667  1.          0.95833333
  1.          1.          1.          1.          1.        ]"
2,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,degrees,standard,LR,0.884615384615,0.0960177747376,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.86,0.101574383443,"[ 0.63636364  0.81818182  0.81818182  1.          0.81818182  0.72727273
  1.          0.72727273  0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  0.63636364  0.72727273  0.90909091  0.81818182  1.
  0.72727273  0.81818182  0.90909091  0.72727273  0.90909091  0.90909091
  0.72727273  0.90909091  0.90909091  1.          0.90909091  1.
  0.81818182  1.          0.81818182  0.90909091  1.          0.90909091
  0.90909091  1.          0.81818182  0.90909091  0.63636364  0.81818182
  0.81818182  0.90909091  0.90909091  1.          0.72727273  0.90909091
  0.90909091  0.90909091]",0.903044871795,0.147703474443,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.925833333333,0.104179999147,"[ 0.58333333  0.875       0.875       1.          0.83333333  0.91666667
  1.          0.91666667  0.95833333  0.95833333  0.66666667  0.875       1.
  0.79166667  0.79166667  0.95833333  1.          1.          0.75
  0.95833333  1.          0.66666667  1.          1.          0.875       1.
  1.          1.          0.95833333  1.          0.95833333  1.
  0.91666667  1.          1.          0.91666667  1.          1.          0.875
  1.          0.66666667  0.95833333  1.          1.          0.95833333
  1.          0.91666667  0.91666667  1.          1.        ]"
3,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,degrees,standard,SGD,0.865384615385,0.0754570874069,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.858181818182,0.103108704573,"[ 0.72727273  0.72727273  1.          0.81818182  0.81818182  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.81818182  0.63636364
  0.81818182  0.72727273  0.72727273  0.90909091  0.90909091  0.90909091
  0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273
  0.72727273  1.          1.          0.90909091  0.81818182  0.81818182
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  0.81818182  1.          0.72727273  1.          0.63636364  0.81818182
  1.          0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.72727273  0.90909091]",0.973557692308,0.0337205535457,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.855833333333,0.131289015365,"[ 0.54166667  0.75        0.83333333  0.91666667  0.66666667  0.91666667
  1.          0.91666667  1.          0.95833333  0.5         0.875
  0.95833333  0.75        0.625       0.95833333  0.91666667  0.83333333
  0.625       0.79166667  0.91666667  0.5         0.875       1.
  0.79166667  1.          1.          1.          0.875       0.91666667
  0.83333333  1.          0.83333333  0.95833333  0.95833333  0.91666667
  0.79166667  0.875       0.75        0.875       0.66666667  0.875
  0.91666667  0.875       0.91666667  0.83333333  0.91666667  0.79166667
  1.          1.        ]"
4,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,closeness_centrality,standard,LR,0.826923076923,0.0933787576135,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.876363636364,0.113195508482,"[ 0.63636364  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182
  1.          0.72727273  1.          1.          0.81818182  1.
  0.90909091  0.81818182  0.72727273  0.72727273  0.81818182  1.
  0.72727273  0.90909091  0.90909091  0.72727273  0.90909091  0.90909091
  0.81818182  1.          1.          0.90909091  0.90909091  0.72727273
  0.72727273  0.90909091  1.          1.          1.          0.90909091
  0.90909091  0.90909091  0.63636364  1.          0.72727273  0.90909091
  0.90909091  1.          1.          0.81818182  1.          0.90909091
  1.          1.        ]",0.857600732601,0.117798194883,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.943333333333,0.0915757124521,"[ 0.58333333  0.83333333  1.          1.          0.79166667  1.          1.
  0.875       1.          1.          0.79166667  1.          0.95833333
  1.          0.875       0.83333333  0.91666667  1.          0.70833333
  0.95833333  1.          1.          0.95833333  1.          0.91666667
  1.          1.          1.          1.          0.875       0.95833333
  1.          1.          1.          1.          1.          1.          1.
  0.75        1.          0.83333333  1.          0.95833333  1.
  0.95833333  0.875       1.          0.95833333  1.          1.        ]"
5,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,closeness_centrality,standard,SGD,0.884615384615,0.0697725498628,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.867272727273,0.0817373337927,"[ 0.81818182  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091
  1.          0.90909091  0.81818182  0.81818182  0.90909091  1.
  0.72727273  0.90909091  0.90909091  1.          0.90909091  0.81818182
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          0.90909091  1.          0.90909091
  0.72727273  0.90909091  0.63636364  0.90909091  0.72727273  0.90909091
  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.90909091]",0.857600732601,0.155433376004,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.925,0.0939118972465,"[ 0.70833333  0.83333333  1.          0.83333333  0.83333333  1.          1.
  0.875       1.          1.          0.58333333  0.95833333  0.91666667
  0.91666667  0.83333333  0.83333333  0.91666667  1.          0.75
  0.91666667  0.95833333  0.875       0.91666667  1.          0.91666667
  1.          0.95833333  1.          1.          0.95833333  0.91666667
  1.          1.          1.          1.          1.          1.          1.
  0.91666667  1.          0.79166667  1.          0.83333333  1.          1.
  0.83333333  1.          0.91666667  0.75        1.        ]"
6,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.734203296703,0.152624561202,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.861666666667,0.115,"[ 0.95833333  1.          0.875       1.          0.66666667  0.91666667
  0.79166667  0.91666667  0.91666667  0.83333333  0.91666667  0.91666667
  1.          0.91666667  0.79166667  0.875       0.91666667  0.66666667
  0.79166667  1.          0.66666667  0.83333333  0.70833333  0.91666667
  0.91666667  0.91666667  1.          0.66666667  0.79166667  1.          0.875
  0.95833333  0.54166667  0.95833333  1.          0.83333333  1.
  0.79166667  0.75        0.95833333  1.          0.875       0.70833333
  0.79166667  0.95833333  0.91666667  0.66666667  0.83333333  0.70833333
  0.875     ]"
7,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,betweenness_centrality,standard,SGD,0.807692307692,0.12714009842,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781818181818,0.119226154987,"[ 0.90909091  0.72727273  0.81818182  0.63636364  0.54545455  0.90909091
  0.72727273  0.81818182  0.72727273  0.63636364  0.81818182  0.81818182
  0.81818182  1.          0.63636364  0.81818182  0.72727273  0.63636364
  0.81818182  0.81818182  0.54545455  0.81818182  0.90909091  0.72727273
  0.81818182  1.          0.90909091  0.90909091  0.54545455  0.72727273
  0.72727273  0.72727273  0.81818182  0.81818182  1.          0.81818182
  0.90909091  0.81818182  0.72727273  0.81818182  1.          0.81818182
  0.63636364  0.72727273  0.90909091  0.72727273  0.54545455  0.81818182
  0.63636364  0.81818182]",0.803914835165,0.110310159017,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.854166666667,0.129435204725,"[ 0.79166667  0.95833333  0.66666667  0.91666667  0.91666667  1.          1.
  0.70833333  0.91666667  0.75        0.95833333  0.875       0.83333333
  1.          0.66666667  1.          0.91666667  0.625       0.70833333
  0.83333333  1.          0.95833333  0.83333333  0.95833333  0.79166667
  0.70833333  1.          0.875       0.79166667  1.          0.95833333
  0.91666667  0.75        0.95833333  0.875       0.625       1.          0.875
  0.5         0.91666667  1.          1.          0.91666667  0.625       1.
  0.83333333  0.66666667  0.75        0.83333333  0.75      ]"
8,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,LR,0.846153846154,0.122342652346,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.892727272727,0.0846773165251,"[ 0.63636364  1.          0.81818182  1.          1.          0.72727273
  0.81818182  1.          0.81818182  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  1.          0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091  1.
  0.90909091  0.90909091  1.          1.          1.          0.90909091
  0.90909091  1.          0.90909091  0.72727273  0.81818182  0.81818182
  1.          0.90909091  0.81818182  1.          0.81818182  0.90909091
  0.81818182  0.90909091]",0.831158424908,0.182182762925,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.86,0.0970967444242,"[ 0.66666667  0.91666667  0.91666667  0.83333333  0.95833333  0.66666667
  0.79166667  0.83333333  0.83333333  0.83333333  0.625       0.83333333
  0.95833333  0.875       0.95833333  0.91666667  0.875       0.70833333
  0.83333333  0.79166667  0.875       0.83333333  0.95833333  0.875       0.625
  0.83333333  0.79166667  0.83333333  0.75        0.875       0.91666667
  0.83333333  1.          0.95833333  1.          0.91666667  0.83333333
  0.95833333  0.875       0.70833333  0.91666667  0.70833333  1.          1.
  0.95833333  0.91666667  0.91666667  0.875       0.95833333  0.875     ]"
9,IPCAS_1_deter_csa_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,SGD,0.846153846154,0.0921910685185,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.861818181818,0.0913444122697,"[ 0.63636364  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273  0.90909091
  1.          0.81818182  0.90909091  0.81818182  1.          0.81818182
  0.72727273  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273
  0.81818182  1.          0.90909091  0.81818182  0.81818182  0.72727273
  0.81818182  0.90909091  0.90909091  1.          1.          0.90909091
  0.81818182  1.          0.81818182  0.90909091  0.90909091  0.90909091
  0.90909091  0.90909091  1.          1.          0.81818182  0.81818182
  0.72727273  0.90909091]",0.916094322344,0.0425126636825,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.895833333333,0.150750437626,"[ 0.83333333  0.91666667  0.875       0.91666667  1.          0.875       1.
  1.          0.875       1.          0.41666667  1.          1.          0.875
  0.95833333  1.          0.875       0.875       0.16666667  0.91666667
  0.875       0.95833333  1.          0.75        1.          1.
  0.95833333  0.83333333  0.79166667  0.875       0.83333333  1.
  0.95833333  0.75        1.          1.          1.          1.          0.625
  0.875       0.95833333  0.83333333  1.          1.          0.91666667
  0.875       0.875       1.          0.875       1.        ]"
